Tipo,Aeropuerto,País,Item (EN),Item (ES),Precio,Descripción (EN),Descripción (ES),Notas
EXPO,,Ecuador,International Travel Certificate,Certificado internacional de viaje,USD220 x 1 mascota USD 280 por 2 mascotas y USD 340 por 3 mascotas,"All legal paperwork to enter the pet(s) from Ecuador into [destino, ciudad] 
Includes:
 - International health certificate issued by Agrocalidad.","Toda la documentación legal para ingresar la(s) mascota(s) desde Ecuador a [destino, ciudad] 
Incluye:  
- Certificado sanitario internacional emitido por Agrocalidad.",
EXPO,,Ecuador,Collection / Pick-up,Retiro / Recogida,USD 200 ( 1 mascota en jaula grande o 2 chiquitas),Collection from owner´s residence and transport to [codigo aeropuerto] airport.,Recogida en la residencia del propietario y transporte al aeropuerto [codigo aeropuerto].,
EXPO,,Ecuador,Airline Tender,Entrega a aerolínea,USD 120 siempre,Tender to the airline at [codigo aeropuerto] airport,Entrega a la aerolínea en el aeropuerto [código aeropuerto],
EXPO,,Ecuador,Air Freight,Flete aéreo,+ USD 650 retail y USA + USD 750 si es agente.,"This charge includes the air freight charged by the airline under the CARGO modality. Includes, also, all fees 
and taxes charged by the airline and by the official offices as well, such as Customs, health authorities.
Includes agent fees needed to export the animals.
IMPORTANT:
The air freight has been estimated on this basis:  
[cantidad de jaulas] crates [tamaño de jaulas].
In case these estimations vary, we will have to re-estimate the air freight.
Routing: [codigo origen] - (posibles escalas, manual) - [codigo destino] on [aerolinea]'s flight  
ETA: TBC 
Frequency: TBC","Este cargo incluye el flete aéreo cobrado por la aerolínea bajo la modalidad CARGO. Incluye también todas las tasas e impuestos cobrados por la aerolínea y por las entidades oficiales, como Aduanas e autoridades sanitarias. 
Incluye los honorarios del agente necesarios para exportar los animales. 
IMPORTANTE: 
El flete aéreo se ha estimado sobre esta base: [cantidad de jaulas] jaulas [tamaño de jaulas]. En caso de que estas estimaciones varíen, tendremos que reestimar el flete aéreo. 
Ruta: [codigo origen] - (posibles escalas, manual) - [codigo destino] en el vuelo de [aerolinea]. 
ETA: Por confirmar. 
Frecuencia: Por confirmar.",
EXPO,,Ecuador,LATAM Pet Transport Fee,Honorario LATAM Pet Transport,USD 350 siempre,,,
EXPO,,Ecuador,Domestic Forwarding,Reenvío doméstico,"a GYE, CUE  etc USD780 X 1 mascota, USD 880 X 2 mascotas y USD 980 x 3 mascotas",,,
EXPO,,Ecuador,Boarding / Lodging,Hospedaje,USD 50 por perro x día y USD 40 por gato x día.,,,
EXPO,,Brasil,Travel Crate,Jaula de viaje,idem Aline,"LATAM Pet Transport will provide a [tamaño] travel container.
Crate meets IATA regulations.","LATAM Pet Transport proporcionará una jaula de [tamaño]. 
La jaula cumple con la normativa IATA.",SI ES MAS DE UNA JAULA DEBERA SER PLURAL  : crates meet IATA regluaitons
EXPO,,Brasil,Crate Pre-delivery,Pre-entrega de la jaula,idem retiro normal,"Pre-delivery of the crate in [ORIGEN, city].","Pre-entrega de la jaula en [ORIGEN, ciudad].",
EXPO,,Brasil,RNATT,RNATT,idem Aline +USD 100,Rabies Neutralising Rabies Titre Test.,Prueba de titulación de anticuerpos neutralizantes de la rabia,el microchip podria sera aparrteo no estar
EXPO,,Brasil,Veterinary Fees,Honorarios veterinarios,"USD250 x 1 mascota, USD 350 x 2 mascotas y USD 450 por 3 mascotas","Vet visit, health certificate and de-worming treatment.","Visita al veterinario, certificado de salud y tratamiento de desparasitación.",
EXPO,,Brasil,International Travel Certificate – EU / South America,Certificado internacional de viaje – UE / Sudamérica,USD450 x 1 mascota USD 530 por 2 mascotas y USD 610 por 3 mascotas.,"All legal paperwork issued in MAPA to enter the pet(s) from Brazil into [destino, ciudad] 
Includes:
 - International health certificate issued by MAPA","Todo el papeleo legal para ingresar la(s) mascota(s) de Brasil al [destino, ciudad]  incluye:  
- Certificado de salud internacional emitido por MAPA",
EXPO,,Brasil,International Travel Certificate – UK / USA,Certificado internacional de viaje – UK / USA,USD600 x 1 mascota USD 680 por 2 mascotas y USD 760 por 3 mascotas.,,,
